Condition,Description
[ -e file ],file exists
[ -s file ],file exists and its size is greater than zero
[ -r file ],file is readable
[ -w file ],file is writable
[ -x file ],file is executable
[ -d file ],file is directory
[ -h file ],file is symlink
[ -b file ],file is block
[ -c file ],file is character
[ -f file ],file is file
[ file1 -nt file2 ],file1 is newer than file2
[ file1 -ot file2 ],file1 is older than file2
[ file1 -ef file2 ],file1 and file2 are equal files
